id,category,date,title,legacy_url,listing_page,in_current_repo,target_path
5436,video,2026-07-06,珠峰主题视频,https://www.xiongdaye.com/home/view/index/id/5436.html,1,True,/web/news/5436.html
5435,video,2026-07-03,我们都犯过这个错,https://www.xiongdaye.com/home/view/index/id/5435.html,1,True,/web/news/5435.html
5434,video,2026-07-01,服务员！过来尝饺子！,https://www.xiongdaye.com/home/view/index/id/5434.html,1,True,/web/news/5434.html
5433,video,2026-06-29,门店大片之熊大爷七周年限定周边,https://www.xiongdaye.com/home/view/index/id/5433.html,1,True,/web/news/5433.html
5432,video,2026-06-27,饺子里的牵挂,https://www.xiongdaye.com/home/view/index/id/5432.html,1,True,/web/news/5432.html
5431,video,2026-06-25,美食召唤术,https://www.xiongdaye.com/home/view/index/id/5431.html,1,True,/web/news/5431.html
5430,video,2026-06-21,就这波了，上啊！,https://www.xiongdaye.com/home/view/index/id/5430.html,1,True,/web/news/5430.html
5429,video,2026-06-20,吃货的王道在哪里,https://www.xiongdaye.com/home/view/index/id/5429.html,1,True,/web/news/5429.html
5428,video,2026-06-19,哥哥说的，都是我的词,https://www.xiongdaye.com/home/view/index/id/5428.html,1,True,/web/news/5428.html
5427,video,2026-06-17,心动失焦  ，美味聚“饺”,https://www.xiongdaye.com/home/view/index/id/5427.html,2,False,/web/news/5427.html
5426,video,2026-06-16,嫩滑鸡肉饺 ，超值尝鲜,https://www.xiongdaye.com/home/view/index/id/5426.html,2,False,/web/news/5426.html
5422,news,2026-06-16,7周年宠粉 | 50份周边礼随机掉落中,https://www.xiongdaye.com/home/view/index/id/5422.html,1,True,/web/news/5422.html
5421,news,2026-06-16,7周年，疯了！一毛钱吃饺子？！,https://www.xiongdaye.com/home/view/index/id/5421.html,1,True,/web/news/5421.html
5425,news,2026-06-15,超值亲邻卡，快来薅羊毛,https://www.xiongdaye.com/home/view/index/id/5425.html,1,True,/web/news/5425.html
5424,video,2026-06-15,一毛钱吃饺子 保姆级教程,https://www.xiongdaye.com/home/view/index/id/5424.html,2,False,/web/news/5424.html
5423,video,2026-06-12,老板疯了？！,https://www.xiongdaye.com/home/view/index/id/5423.html,2,False,/web/news/5423.html
5437,news,2026-06-10,减脂人闭眼冲！7周年嫩滑鸡肉「8元起」尝新,https://www.xiongdaye.com/home/view/index/id/5437.html,1,True,/web/news/5437.html
5438,news,2026-06-09,倒计时3天 | 7周年我们决定“疯”一次！,https://www.xiongdaye.com/home/view/index/id/5438.html,1,True,/web/news/5438.html
5439,news,2026-06-02,一枚饺子的山河万里：熊大爷的“风味地图”,https://www.xiongdaye.com/home/view/index/id/5439.html,1,True,/web/news/5439.html
5420,news,2026-06-01,她们不过母亲节，但每天都在当妈妈,https://www.xiongdaye.com/home/view/index/id/5420.html,1,True,/web/news/5420.html
5419,news,2026-05-29,8848米之上：一只饺子的志向与征途,https://www.xiongdaye.com/home/view/index/id/5419.html,1,True,/web/news/5419.html
5418,news,2026-05-29,七年·千店·万人就业：熊大爷，包饺子也包梦想,https://www.xiongdaye.com/home/view/index/id/5418.html,1,True,/web/news/5418.html
5417,video,2026-05-11,让亲戚过嘴瘾？不可能！绝对不可能！,https://www.xiongdaye.com/home/view/index/id/5417.html,2,False,/web/news/5417.html
5416,video,2026-05-11,山东老婆四川老公这顿饺子吃的驴唇不对马嘴,https://www.xiongdaye.com/home/view/index/id/5416.html,2,False,/web/news/5416.html
5415,video,2026-05-11,我记得我们挺熟的啊...,https://www.xiongdaye.com/home/view/index/id/5415.html,2,False,/web/news/5415.html
5414,video,2026-05-11,一碗热饺子，藏着熊大爷的温柔与暖意,https://www.xiongdaye.com/home/view/index/id/5414.html,2,False,/web/news/5414.html
5413,video,2026-05-11,解密一碗饺子的“名侦探模式”,https://www.xiongdaye.com/home/view/index/id/5413.html,2,False,/web/news/5413.html
5412,video,2026-05-11,大意了，大意了，差点饺子都吃不上了,https://www.xiongdaye.com/home/view/index/id/5412.html,3,False,/web/news/5412.html
5411,video,2026-05-11,好消息：今天来了个大客户！ 坏消息：来上厕所的～,https://www.xiongdaye.com/home/view/index/id/5411.html,3,False,/web/news/5411.html
5410,video,2026-05-11,您好，很不高兴为您服务！,https://www.xiongdaye.com/home/view/index/id/5410.html,3,False,/web/news/5410.html
5409,video,2026-05-11,居然怀疑我家的饺子是冷冻品？ 必须得给你来波“大的”！,https://www.xiongdaye.com/home/view/index/id/5409.html,3,False,/web/news/5409.html
5408,video,2026-05-11,好吃到我要向全世界炫耀！！！,https://www.xiongdaye.com/home/view/index/id/5408.html,3,False,/web/news/5408.html
5407,video,2026-05-11,烦恼全忘掉，饺子最有效,https://www.xiongdaye.com/home/view/index/id/5407.html,3,False,/web/news/5407.html
5406,video,2026-05-11,误闯天家，卡点的快乐谁懂啊,https://www.xiongdaye.com/home/view/index/id/5406.html,3,False,/web/news/5406.html
5405,news,2026-05-05,立夏饺纳福|生活多喜乐，岁岁常安康,https://www.xiongdaye.com/home/view/index/id/5405.html,2,False,/web/news/5405.html
5404,news,2026-05-04,青年节 ┆ 青春向阳，不负韶华,https://www.xiongdaye.com/home/view/index/id/5404.html,2,False,/web/news/5404.html
5403,news,2026-05-01,致敬劳动节|用美味致敬每一份努力,https://www.xiongdaye.com/home/view/index/id/5403.html,2,False,/web/news/5403.html
5402,news,2026-04-30,【中华网】嫩滑鸡肉饺全新上市：熊大爷以“低脂高蛋白”拓宽现包饺子赛道,https://www.xiongdaye.com/home/view/index/id/5402.html,2,False,/web/news/5402.html
5401,news,2026-04-30,【新京报】熊大爷虾皇饺全国上新：以鲜破季，现包饺子赛道再立品质新标准,https://www.xiongdaye.com/home/view/index/id/5401.html,2,False,/web/news/5401.html
5400,video,2026-04-30,五一长假出发喽~ #熊大爷 陪您一起过节,https://www.xiongdaye.com/home/view/index/id/5400.html,3,False,/web/news/5400.html
5399,video,2026-04-30,各省工作指南，速看又是谁在对号入座呢？,https://www.xiongdaye.com/home/view/index/id/5399.html,3,False,/web/news/5399.html
5398,video,2026-04-30,食物双标时刻，来看这里是谁的日常我不说~,https://www.xiongdaye.com/home/view/index/id/5398.html,4,False,/web/news/5398.html
5397,video,2026-04-30,食物谐音梗，速来这里食话食说真上头～,https://www.xiongdaye.com/home/view/index/id/5397.html,4,False,/web/news/5397.html
5396,video,2026-04-30,减肥日常be like，速看这里又是谁的真实写照～,https://www.xiongdaye.com/home/view/index/id/5396.html,4,False,/web/news/5396.html
5395,news,2026-04-13,致全体加盟商合作伙伴的廉洁合作倡议书,https://www.xiongdaye.com/home/view/index/id/5395.html,2,False,/web/news/5395.html
5394,news,2026-04-10,88折尝鲜 | 熊大爷人气虾皇饺升级回归！,https://www.xiongdaye.com/home/view/index/id/5394.html,2,False,/web/news/5394.html
5393,news,2026-04-02,楼下那家饺子馆，悄悄变成了社区小酒馆,https://www.xiongdaye.com/home/view/index/id/5393.html,2,False,/web/news/5393.html
5392,news,2026-03-27,双奖加冕！熊大爷荣膺红鲤奖“饺子馄饨十大品牌”及“消费者口碑领军品牌奖”,https://www.xiongdaye.com/home/view/index/id/5392.html,2,False,/web/news/5392.html
5391,video,2026-03-09,熊大爷优秀员工,https://www.xiongdaye.com/home/view/index/id/5391.html,4,False,/web/news/5391.html
5390,video,2026-03-09,熊大爷最佳优秀团队,https://www.xiongdaye.com/home/view/index/id/5390.html,4,False,/web/news/5390.html
5389,video,2026-03-09,熊大爷优秀事业部,https://www.xiongdaye.com/home/view/index/id/5389.html,4,False,/web/news/5389.html
5388,video,2026-03-09,大道至简，实干为要 - 优秀门店,https://www.xiongdaye.com/home/view/index/id/5388.html,4,False,/web/news/5388.html
5387,video,2026-03-09,熊大爷优秀管理者,https://www.xiongdaye.com/home/view/index/id/5387.html,4,False,/web/news/5387.html
5386,video,2026-03-09,熊大企业文化践行者,https://www.xiongdaye.com/home/view/index/id/5386.html,4,False,/web/news/5386.html
5385,video,2026-03-09,凝心聚力打胜仗-熊大爷年终盛典,https://www.xiongdaye.com/home/view/index/id/5385.html,5,False,/web/news/5385.html
5384,news,2026-03-06,从熊猫故乡出发，元拓食品开业了！,https://www.xiongdaye.com/home/view/index/id/5384.html,3,False,/web/news/5384.html
5383,news,2026-03-02,正月初九，我们在北川和孩子们包了一顿特别的饺子,https://www.xiongdaye.com/home/view/index/id/5383.html,3,False,/web/news/5383.html
5382,news,2026-02-27,熊大爷走进河北沙河赵泗水：260位乡亲的新年，不一样了,https://www.xiongdaye.com/home/view/index/id/5382.html,3,False,/web/news/5382.html
5381,news,2026-02-06,2025吃了几十万头猪，现在我们要去包世界了,https://www.xiongdaye.com/home/view/index/id/5381.html,3,False,/web/news/5381.html
5380,news,2026-01-26,吃熊饺，过福年熊大爷福礼，马上到您家！,https://www.xiongdaye.com/home/view/index/id/5380.html,3,False,/web/news/5380.html
5379,news,2026-01-19,熊大爷2025年稳步拓展，新增358家门店持续布局现包饺子市场,https://www.xiongdaye.com/home/view/index/id/5379.html,3,False,/web/news/5379.html
5378,news,2026-01-12,工程跨界餐饮：眉县杜老板“复制”熊大爷操作系统，两月又开一店,https://www.xiongdaye.com/home/view/index/id/5378.html,3,False,/web/news/5378.html
5377,news,2026-01-12,饺香传情 文化相融 新疆科技馆联合熊大爷举办第二届 “饺乐大赛”,https://www.xiongdaye.com/home/view/index/id/5377.html,3,False,/web/news/5377.html
5376,news,2026-01-12,【大众网】熊大爷2025向善报告：用一只饺子，包起人间温暖与社区日常,https://www.xiongdaye.com/home/view/index/id/5376.html,3,False,/web/news/5376.html
5375,news,2026-01-12,【凤凰网】熊大爷2025向善报告：用一只饺子，包起人间温暖与社区日常,https://www.xiongdaye.com/home/view/index/id/5375.html,4,False,/web/news/5375.html
5374,news,2026-01-12,当科技遇见手艺：熊大爷用溯源链+明厨亮灶拿下国家级质量桂冠,https://www.xiongdaye.com/home/view/index/id/5374.html,4,False,/web/news/5374.html
5373,news,2026-01-12,熊大爷2026全新升级：让世界通过一枚饺子，品尝中国好味,https://www.xiongdaye.com/home/view/index/id/5373.html,4,False,/web/news/5373.html
5372,news,2026-01-12,再破纪录：凭借一颗手工饺，熊大爷撬动千万级节令消费,https://www.xiongdaye.com/home/view/index/id/5372.html,4,False,/web/news/5372.html
5371,news,2026-01-12,连接·扎根·共生：2025年，熊大爷用饺子丈量世界,https://www.xiongdaye.com/home/view/index/id/5371.html,4,False,/web/news/5371.html
5370,news,2026-01-12,“熊大爷”六年行军地图：1200家店、31省版图与一只饺子的中国远征,https://www.xiongdaye.com/home/view/index/id/5370.html,4,False,/web/news/5370.html
5369,news,2026-01-12,5200只饺子，暖了一座城！熊大爷携手癌症宝宝家庭共筑“生命厨房”,https://www.xiongdaye.com/home/view/index/id/5369.html,4,False,/web/news/5369.html
5368,news,2025-12-22,饺子要吃热热的，冬至要来熊大爷！,https://www.xiongdaye.com/home/view/index/id/5368.html,4,False,/web/news/5368.html
5367,news,2025-12-22,当科技遇见手艺：熊大爷用溯源链+明厨亮灶拿下国家级质量桂冠,https://www.xiongdaye.com/home/view/index/id/5367.html,4,False,/web/news/5367.html
5366,news,2025-12-22,单日破1.8万，月销售额翻倍！熊大爷深圳粤港新天地店成业内爆店样板,https://www.xiongdaye.com/home/view/index/id/5366.html,5,False,/web/news/5366.html
5365,news,2025-12-15,从第一口到第N次：熊大爷如何用一只现包饺子攒下1.2亿“信任基金”,https://www.xiongdaye.com/home/view/index/id/5365.html,5,False,/web/news/5365.html
5364,news,2025-12-15,28㎡饺子馆日营收破万：熊大爷“小门店”重塑餐饮盈利公式,https://www.xiongdaye.com/home/view/index/id/5364.html,5,False,/web/news/5364.html
5363,news,2025-12-15,熊大爷早餐试点暖心上线，重塑都市晨间美味版图,https://www.xiongdaye.com/home/view/index/id/5363.html,5,False,/web/news/5363.html
5362,news,2025-12-15,立冬破纪录！日销2.3万，熊大爷把饺子做成社区顶流,https://www.xiongdaye.com/home/view/index/id/5362.html,5,False,/web/news/5362.html
5361,news,2025-12-15,熊大爷社区运营秘籍：外卖万单店的私域流量密码,https://www.xiongdaye.com/home/view/index/id/5361.html,5,False,/web/news/5361.html
5360,news,2025-12-15,指间轻触，热饺「闪送」：熊大爷一份鲜饺点燃冬日味蕾,https://www.xiongdaye.com/home/view/index/id/5360.html,5,False,/web/news/5360.html
5359,news,2025-12-05,熊大爷社区运营秘籍：外卖万单店的私域流量密码,https://www.xiongdaye.com/home/view/index/id/5359.html,5,False,/web/news/5359.html
5358,news,2025-12-04,5200只饺子，暖了一座城！熊大爷携手癌症宝宝家庭共筑“生命厨房”,https://www.xiongdaye.com/home/view/index/id/5358.html,5,False,/web/news/5358.html
5357,news,2025-12-01,iPhone17免费抽！点击「熊大爷暖冬饺子节」攻略，一网打尽全福利~,https://www.xiongdaye.com/home/view/index/id/5357.html,6,False,/web/news/5357.html
5356,news,2025-11-25,熊大爷荣膺2025餐饮玉盘奖：坚守现包饺子本心，传递餐桌温暖力量,https://www.xiongdaye.com/home/view/index/id/5356.html,6,False,/web/news/5356.html
5355,news,2025-11-17,揭秘 | 熊大爷现包饺子6年1200+店背后的“快”逻辑与“慢”功夫,https://www.xiongdaye.com/home/view/index/id/5355.html,6,False,/web/news/5355.html
5354,news,2025-11-13,5元早餐唤醒晨光！熊大爷开始卖早餐啦,https://www.xiongdaye.com/home/view/index/id/5354.html,6,False,/web/news/5354.html
5353,news,2025-11-13,以AI赋能餐饮人才培养，熊大爷荣获第七届云图奖数字化企业学习助力业务奖-金奖,https://www.xiongdaye.com/home/view/index/id/5353.html,6,False,/web/news/5353.html
5352,news,2025-10-31,立冬请端饺子碗“暖冬双重礼”,https://www.xiongdaye.com/home/view/index/id/5352.html,6,False,/web/news/5352.html
5351,news,2025-10-30,重阳坝坝宴，999只“熊大爷”饺子暖胃更暖心！,https://www.xiongdaye.com/home/view/index/id/5351.html,6,False,/web/news/5351.html
5350,news,2025-10-28,九九重阳，暖心饺宴——陪长辈吃顿更好的,https://www.xiongdaye.com/home/view/index/id/5350.html,6,False,/web/news/5350.html
5349,news,2025-10-24,【东方网】“务实”三连击，熊大爷社区饺子店跑出盈利加速度,https://www.xiongdaye.com/home/view/index/id/5349.html,6,False,/web/news/5349.html
5348,news,2025-10-24,【经济观察网】熊大爷以真诚为“底味”，破解餐饮行业信任困局,https://www.xiongdaye.com/home/view/index/id/5348.html,7,False,/web/news/5348.html
5347,news,2025-10-24,【中华网】熊大爷以真诚为“底味”，破解餐饮行业信任困局,https://www.xiongdaye.com/home/view/index/id/5347.html,7,False,/web/news/5347.html
5346,news,2025-10-24,【中国财富网】熊大爷三度蝉联红鹰奖，以“精准营养”重塑中式快餐赛道,https://www.xiongdaye.com/home/view/index/id/5346.html,7,False,/web/news/5346.html
5345,news,2025-10-24,【 每日财经网】熊大爷三度蝉联红鹰奖，以“精准营养”重塑中式快餐赛道,https://www.xiongdaye.com/home/view/index/id/5345.html,7,False,/web/news/5345.html
5344,news,2025-10-24,【北方网】熊大爷以“共赢”为核心，让情感与利益双向奔赴,https://www.xiongdaye.com/home/view/index/id/5344.html,7,False,/web/news/5344.html
5343,news,2025-10-24,【经济观察网】“务实”三连击，熊大爷社区饺子店跑出盈利加速度,https://www.xiongdaye.com/home/view/index/id/5343.html,7,False,/web/news/5343.html
5342,news,2025-10-24,【中华网】“务实”三连击，熊大爷社区饺子店跑出盈利加速度,https://www.xiongdaye.com/home/view/index/id/5342.html,7,False,/web/news/5342.html
5341,news,2025-10-24,【中国财经网】“30万净利俱乐部”加速扩容，熊大爷要把85%门店都拉进来,https://www.xiongdaye.com/home/view/index/id/5341.html,7,False,/web/news/5341.html
5340,news,2025-10-24,【中华网】5年＝15年：熊大爷千店背后的“时间折叠术”,https://www.xiongdaye.com/home/view/index/id/5340.html,7,False,/web/news/5340.html
5339,news,2025-10-24,【中国财富网】5年＝15年：熊大爷千店背后的“时间折叠术”,https://www.xiongdaye.com/home/view/index/id/5339.html,8,False,/web/news/5339.html
5338,news,2025-10-24,熊大爷的“金九”速度：62位新盟友、45家新店同时起跑！,https://www.xiongdaye.com/home/view/index/id/5338.html,8,False,/web/news/5338.html
5337,news,2025-10-20,熊大爷 | 北纬43°的天山麦魂,https://www.xiongdaye.com/home/view/index/id/5337.html,8,False,/web/news/5337.html
5336,news,2025-10-09,熊大爷三度蝉联红鹰奖，以“精准营养”重塑中式快餐赛道,https://www.xiongdaye.com/home/view/index/id/5336.html,8,False,/web/news/5336.html
5335,news,2025-09-30,饺香盈门，双节同欢,https://www.xiongdaye.com/home/view/index/id/5335.html,8,False,/web/news/5335.html
5334,news,2025-09-30,熊大爷教师节特辑：把讲台藏进生包间,https://www.xiongdaye.com/home/view/index/id/5334.html,8,False,/web/news/5334.html
5333,news,2025-09-30,不是口号，是业绩发动机！——熊大爷三好店长班·四川站收官，首批“特种兵”出炉！,https://www.xiongdaye.com/home/view/index/id/5333.html,8,False,/web/news/5333.html
5331,video,2025-09-23,薄皮裹秋味，一口饺儿香,https://www.xiongdaye.com/home/view/index/id/5331.html,5,False,/web/news/5331.html
5330,news,2025-09-23,熊大爷“饺”个朋友，燃爆superXlive！,https://www.xiongdaye.com/home/view/index/id/5330.html,8,False,/web/news/5330.html
5332,video,2025-09-07,白露添凉意，饺子暖心头,https://www.xiongdaye.com/home/view/index/id/5332.html,5,False,/web/news/5332.html
5329,news,2025-09-05,现包饺子撬动社区餐饮新蓝海，熊大爷匠心打造千店幸福模型,https://www.xiongdaye.com/home/view/index/id/5329.html,8,False,/web/news/5329.html
5328,news,2025-09-05,现包饺子撬动社区餐饮新蓝海，熊大爷匠心打造千店幸福模型,https://www.xiongdaye.com/home/view/index/id/5328.html,9,False,/web/news/5328.html
5327,news,2025-09-05,女儿圆梦清华！熊大爷加盟商杨女士诠释事业家庭共成长,https://www.xiongdaye.com/home/view/index/id/5327.html,9,False,/web/news/5327.html
5326,news,2025-09-05,从“好吃”到“敢标”：熊大爷一颗饺子的“信任”账本,https://www.xiongdaye.com/home/view/index/id/5326.html,9,False,/web/news/5326.html
5325,news,2025-09-05,熊大爷数字化战略引领餐饮新变革，重塑餐饮行业竞争力,https://www.xiongdaye.com/home/view/index/id/5325.html,9,False,/web/news/5325.html
5324,news,2025-09-05,“三栖一体”模式：熊大爷重塑社区餐饮竞争力,https://www.xiongdaye.com/home/view/index/id/5324.html,9,False,/web/news/5324.html
5323,news,2025-09-05,从一颗饺子到一张餐桌：熊大爷用“挑剔”重构中式快餐信任链,https://www.xiongdaye.com/home/view/index/id/5323.html,9,False,/web/news/5323.html
5322,video,2025-09-05,熊大爷X福临门联名 饺子蘸香油！,https://www.xiongdaye.com/home/view/index/id/5322.html,5,False,/web/news/5322.html
5321,video,2025-08-28,饺子蘸香油，吃出好彩头！,https://www.xiongdaye.com/home/view/index/id/5321.html,5,False,/web/news/5321.html
5320,news,2025-08-23,传统节气 | 秋始暑散，时至处暑,https://www.xiongdaye.com/home/view/index/id/5320.html,9,False,/web/news/5320.html
5319,news,2025-08-20,熊大爷要搞大事了？！携手“调香届”顶流组CP,https://www.xiongdaye.com/home/view/index/id/5319.html,9,False,/web/news/5319.html
5318,news,2025-08-07,立秋节气 | 时序轮转  饺香常伴,https://www.xiongdaye.com/home/view/index/id/5318.html,9,False,/web/news/5318.html
5317,news,2025-08-01,建军节 | 致敬最可爱的人,https://www.xiongdaye.com/home/view/index/id/5317.html,10,False,/web/news/5317.html
5316,news,2025-07-30,北川盛夏饺香飘：熊大爷公益暖途，用爱点亮童心灯塔,https://www.xiongdaye.com/home/view/index/id/5316.html,10,False,/web/news/5316.html
5315,video,2025-07-30,北川X熊大爷 下一个16年温暖之约继续！,https://www.xiongdaye.com/home/view/index/id/5315.html,5,False,/web/news/5315.html
5314,video,2025-07-24,梦想开始的地方,https://www.xiongdaye.com/home/view/index/id/5314.html,5,False,/web/news/5314.html
5313,video,2025-07-21,六载滚烫，一生回香,https://www.xiongdaye.com/home/view/index/id/5313.html,5,False,/web/news/5313.html
5312,news,2025-07-21,头伏头伏，吃饺添福,https://www.xiongdaye.com/home/view/index/id/5312.html,10,False,/web/news/5312.html
5311,news,2025-07-07,时序轮转  饺香常伴,https://www.xiongdaye.com/home/view/index/id/5311.html,10,False,/web/news/5311.html
5310,news,2025-07-03,凤凰网：熊大爷三款新面上市，开启舌尖美味新体验,https://www.xiongdaye.com/home/view/index/id/5310.html,10,False,/web/news/5310.html
5309,news,2025-07-03,腾讯新闻：熊大爷门店突破1200家，打造社区餐饮规模化发展新标杆,https://www.xiongdaye.com/home/view/index/id/5309.html,10,False,/web/news/5309.html
5308,news,2025-07-03,界面新闻：熊大爷2025品牌愿景落地，实现年利润30万＋门店占比超85%,https://www.xiongdaye.com/home/view/index/id/5308.html,10,False,/web/news/5308.html
5307,news,2025-07-03,中国日报网：乡村振兴赋能双向驱动 连锁餐饮让“可持续”深度践行,https://www.xiongdaye.com/home/view/index/id/5307.html,10,False,/web/news/5307.html
